Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Kpatakpali,Settlement,village,Bassa,Medium (2k-10k),2,7.7687482,6.7905973,"https://www.google.com/maps/search/?api=1&query=7.7687482,6.7905973"
Takete,Settlement,village,Bassa,Medium (2k-10k),2,7.7121255,6.899528,"https://www.google.com/maps/search/?api=1&query=7.7121255,6.899528"
Oguma,Settlement,village,Bassa,Medium (2k-10k),2,7.8981,7.0524,"https://www.google.com/maps/search/?api=1&query=7.8981,7.0524"
Adana,Settlement,hamlet,Bassa,Low (<1k),3,7.483,6.7695,"https://www.google.com/maps/search/?api=1&query=7.483,6.7695"
Iroko,Settlement,hamlet,Bassa,Low (<1k),3,7.5710845,6.7123563,"https://www.google.com/maps/search/?api=1&query=7.5710845,6.7123563"
Eroko,Settlement,hamlet,Bassa,Low (<1k),3,7.5706676,6.7107469,"https://www.google.com/maps/search/?api=1&query=7.5706676,6.7107469"
Usaman,Settlement,village,Bassa,Medium (2k-10k),2,7.866667,7.166667,"https://www.google.com/maps/search/?api=1&query=7.866667,7.166667"
Akpaku,Settlement,village,Bassa,Medium (2k-10k),2,7.967353,7.254685,"https://www.google.com/maps/search/?api=1&query=7.967353,7.254685"
Akpakudu,Settlement,village,Bassa,Medium (2k-10k),2,7.967353,7.254685,"https://www.google.com/maps/search/?api=1&query=7.967353,7.254685"
Amara,Settlement,village,Bassa,Medium (2k-10k),2,8.0075,7.400833,"https://www.google.com/maps/search/?api=1&query=8.0075,7.400833"
Beinto,Settlement,village,Bassa,Medium (2k-10k),2,7.933333,7.15,"https://www.google.com/maps/search/?api=1&query=7.933333,7.15"
Binto,Settlement,village,Bassa,Medium (2k-10k),2,7.933333,7.15,"https://www.google.com/maps/search/?api=1&query=7.933333,7.15"
Bishua,Settlement,village,Bassa,Medium (2k-10k),2,7.9905917,7.3051199,"https://www.google.com/maps/search/?api=1&query=7.9905917,7.3051199"
Inegu,Settlement,hamlet,Bassa,Low (<1k),3,7.849713,7.158579,"https://www.google.com/maps/search/?api=1&query=7.849713,7.158579"
Inequ,Settlement,hamlet,Bassa,Low (<1k),3,7.849713,7.158579,"https://www.google.com/maps/search/?api=1&query=7.849713,7.158579"
Jerkama,Settlement,village,Bassa,Medium (2k-10k),2,7.916667,7.233333,"https://www.google.com/maps/search/?api=1&query=7.916667,7.233333"
Kokuri,Settlement,hamlet,Bassa,Low (<1k),3,7.943613,7.205705,"https://www.google.com/maps/search/?api=1&query=7.943613,7.205705"
Kukuri,Settlement,hamlet,Bassa,Low (<1k),3,7.943613,7.205705,"https://www.google.com/maps/search/?api=1&query=7.943613,7.205705"
Kwiambana,Settlement,hamlet,Bassa,Low (<1k),3,7.917179,7.302297,"https://www.google.com/maps/search/?api=1&query=7.917179,7.302297"
Nyebu,Settlement,village,Bassa,Medium (2k-10k),2,7.9974396,7.3184718,"https://www.google.com/maps/search/?api=1&query=7.9974396,7.3184718"
